1.42040036   0.95749032   1.08807985   1.09275946   1.09282370   108.41394588   107.08155226   111.86508072   111.68373220   197.50000000   315.75785185   438.27479513   317.17754899
1.42058938   0.95737484   1.08816873   1.09266861   1.09275906   108.43706034   107.16509497   111.86266201   111.62794705   200.00000000   318.25177559   440.69861879   319.65013146
1.42079219   0.95724951   1.08826955   1.09257141   1.09268521   108.46198840   107.25851893   111.86129014   111.56341669   202.50000000   320.76112712   443.12908561   322.13007091
1.42101130   0.95711609   1.08838062   1.09246817   1.09260013   108.48896587   107.36191284   111.86144965   111.48905956   205.00000000   323.28691325   445.56692760   324.61794695
1.42124095   0.95697680   1.08850252   1.09236046   1.09250567   108.51715967   107.47456624   111.86331192   111.40492564   207.50000000   325.82988060   448.01334669   327.11440910
1.42147411   0.95683445   1.08863584   1.09224913   1.09240324   108.54600698   107.59676304   111.86699354   111.31064237   210.00000000   328.39092724   450.46905391   329.61999372
1.42171204   0.95669073   1.08877774   1.09213612   1.09229089   108.57534923   107.72635152   111.87304040   111.20625362   212.50000000   330.97010132   452.93558801   332.13522978
1.42194911   0.95654855   1.08892916   1.09202214   1.09217016   108.60464614   107.86414559   111.88118374   111.09127790   215.00000000   333.56799495   455.41273530   334.66024341
1.42218049   0.95641045   1.08908947   1.09190892   1.09204195   108.63325970   108.00917153   111.89143284   110.96602774   217.50000000   336.18447123   457.90119838   337.19522320
1.42240189   0.95627900   1.08925809   1.09179792   1.09190688   108.66068313   108.16078942   111.90366202   110.83070909   220.00000000   338.81922918   460.40119256   339.74014058
1.42260922   0.95615687   1.08943419   1.09169051   1.09176545   108.68642955   108.31830780   111.91764438   110.68569153   222.50000000   341.47167305   462.91271206   342.29479504
1.42279832   0.95604627   1.08961727   1.09158857   1.09161853   108.70998976   108.48092543   111.93310657   110.53155416   225.00000000   344.14080883   465.43551866   344.85877583
1.42296526   0.95594936   1.08980633   1.09149348   1.09146665   108.73088814   108.64777685   111.94968811   110.36897487   227.50000000   346.82538681   467.96917737   347.43152139
1.42310635   0.95586807   1.09000043   1.09140673   1.09131046   108.74876333   108.81797807   111.96703579   110.19872876   230.00000000   349.52384214   470.51300870   350.01228361
1.42321874   0.95580391   1.09019844   1.09132986   1.09115073   108.76308502   108.99085835   111.98483618   110.02140473   232.50000000   352.23447082   473.06614694   352.60020592
1.42330010   0.95575882   1.09039919   1.09126388   1.09098815   108.77376144   109.16508717   112.00253614   109.83873136   235.00000000   354.95498967   475.62762337   355.19420435
1.42334837   0.95573357   1.09060147   1.09120993   1.09082332   108.78052938   109.33986440   112.01978487   109.65157597   237.50000000   357.68313462   478.19615228   357.79309563
1.42336231   0.95572871   1.09080401   1.09116909   1.09065700   108.78324436   109.51415668   112.03622713   109.46123035   240.00000000   360.41639370   480.77040752   360.39560041
1.42334144   0.95574438   1.09100549   1.09114220   1.09048982   108.78185015   109.68694669   112.05152644   109.26904168   242.50000000   363.15212282   483.34892504   363.00034929
1.42328605   0.95578028   1.09120458   1.09112987   1.09032243   108.77637645   109.85722549   112.06538935   109.07640884   245.00000000   365.88758939   485.93016272   365.60591737
1.42319720   0.95583569   1.09139989   1.09113248   1.09015542   108.76692759   110.02401214   112.07757352   108.88473858   247.50000000   368.62007651   488.51255601   368.21087751
1.42307671   0.95590945   1.09159008   1.09115016   1.08998936   108.75369119   110.18636820   112.08789177   108.69543987   250.00000000   371.34691837   491.09454708   370.81382182
1.42292706   0.95600005   1.09177403   1.09118289   1.08982475   108.73683268   110.34357133   112.09602161   108.50984970   252.50000000   374.06572632   493.67436229   373.41336287
1.42276332   0.95610592   1.09195017   1.09122969   1.08966057   108.71499776   110.49478808   112.10138977   108.32873476   255.00000000   376.77451069   496.25099859   376.00850309
1.42256602   0.95622428   1.09211700   1.09129123   1.08950052   108.69215316   110.63876647   112.10559303   108.15452392   257.50000000   379.47000054   498.82323050   378.59774368
1.42234892   0.95635297   1.09227427   1.09136618   1.08934356   108.66701641   110.77538041   112.10771834   107.98776900   260.00000000   382.15101447   501.38963934   381.18021794
1.42211764   0.95648956   1.09242075   1.09145341   1.08919016   108.63998341   110.90409521   112.10775470   107.82945816   262.50000000   384.81603597   503.94924020   383.75509206
1.42187684   0.95663143   1.09255560   1.09155167   1.08904080   108.61155014   111.02453243   112.10573626   107.68049182   265.00000000   387.46386186   506.50120957   386.32169048
1.42163035   0.95677597   1.09267900   1.09165922   1.08889610   108.58211232   111.13675418   112.10158403   107.54141513   267.50000000   390.09376150   509.04463730   388.87946627
1.42138716   0.95692009   1.09278806   1.09177444   1.08875537   108.55276164   111.23997444   112.09548317   107.41300943   270.00000000   392.70487900   511.57959062   391.42815654
1.42114534   0.95706194   1.09288407   1.09189714   1.08862132   108.52327504   111.33448234   112.08753849   107.29627687   272.50000000   395.29706863   514.10555755   393.96754206
1.42091150   0.95719875   1.09296637   1.09202477   1.08849356   108.49448656   111.42039452   112.07764282   107.19129221   275.00000000   397.87037629   516.62238083   396.49758571
1.42068914   0.95732830   1.09303505   1.09215553   1.08837280   108.46675067   111.49798818   112.06573087   107.09832979   277.50000000   400.42509480   519.13004941   399.01838140
1.42048815   0.95744773   1.09308818   1.09228651   1.08825782   108.44126960   111.56718127   112.05171783   107.01717500   280.00000000   402.96171931   521.62888159   401.53020030
1.42030393   0.95755605   1.09312887   1.09241696   1.08815159   108.41768858   111.62925931   112.03544455   106.94855880   282.50000000   405.48138765   524.11892931   404.03343899
1.42013908   0.95765162   1.09315467   1.09254687   1.08805509   108.39624402   111.68334977   112.01711608   106.89272923   285.00000000   407.98392999   526.60076195   406.52823064
1.42001089   0.95773259   1.09316199   1.09266605   1.08796989   108.37870230   111.72994527   111.99526742   106.84921041   287.50000000   410.47034245   529.07454665   409.01496303
1.41990810   0.95779880   1.09316025   1.09278505   1.08789051   108.36215495   111.77135440   111.97165906   106.81711105   290.00000000   412.94336890   531.54096091   411.49477661
1.41982311   0.95784793   1.09314514   1.09289875   1.08782383   108.34960852   111.80645614   111.94520951   106.79812844   292.50000000   415.40250294   534.00088415   413.96779570
1.41976597   0.95787964   1.09311751   1.09300471   1.08776849   108.34065746   111.83617340   111.91581913   106.79113665   295.00000000   417.84931030   536.45463856   416.43464962
1.41973825   0.95789371   1.09307764   1.09310104   1.08772485   108.33540707   111.86120851   111.88308213   106.79584144   297.50000000   420.28513816   538.90288367   418.89600728
1.41974027   0.95789003   1.09302613   1.09318644   1.08769338   108.33394367   111.88214651   111.84672650   106.81194947   300.00000000   422.71122539   541.34625190   421.35249243
1.41977176   0.95786875   1.09296371   1.09325973   1.08767452   108.33629919   111.89956531   111.80648019   106.83913433   302.50000000   425.12881333   543.78538477   423.80473270
1.41983200   0.95783030   1.09289121   1.09331981   1.08766869   108.34244247   111.91402610   111.76206977   106.87703992   305.00000000   427.53911878   546.22090370   426.25334083
1.41991987   0.95777533   1.09280964   1.09336580   1.08767616   108.35228905   111.92605090   111.71323002   106.92529315   307.50000000   429.94332173   548.65342214   428.69891462
1.42003376   0.95770474   1.09271980   1.09339675   1.08769732   108.36565747   111.93611589   111.65972160   106.98346977   310.00000000   432.34256226   551.08349516   431.14201914
1.42017159   0.95761962   1.09262291   1.09341212   1.08773234   108.38236202   111.94455188   111.60120759   107.05121595   312.50000000   434.73780598   553.51160217   433.58313605
1.42033153   0.95752151   1.09251998   1.09341128   1.08778109   108.40211636   111.95216026   111.53746208   107.12800489   315.00000000   437.13027923   555.93829174   436.02285699
1.42051234   0.95741184   1.09241034   1.09339437   1.08784417   108.42483220   111.95870775   111.46873243   107.21342737   317.50000000   439.52027086   558.36431115   438.46152734
